text1,text2,label
Basketball helps me stay active and improves my teamwork skills.,Playing basketball is great for fitness and teamwork.,1
I plan at least one trip every year to a new place.,Every year I make sure to visit a place I’ve never been before.,1
"I enjoy reading fantasy books filled with magic, dragons, and heroes.","Fantasy novels with dragons, magic, and heroes capture my imagination.",1
Swimming helps me relax and build stamina.,I love reading books about space exploration and aliens.,0
I go jogging every morning to stay fit and clear my mind.,I take a walk every morning to refresh my thoughts and keep my body active.,0
Cooking helps me relax after a long day.,Basketball helps me stay active and improves my teamwork skills.,0
Cooking helps me relax after a long day.,"After a tiring day, cooking helps me unwind and feel better.",1
I enjoy visiting beaches and spending time near the sea.,Reading history books helps me understand past civilizations and their cultures.,0
I like experimenting with new recipes in the kitchen.,I prefer mountains over beaches for vacation.,0
I go jogging every morning to stay fit and healthy.,Running every morning keeps me healthy and active.,1
I prefer homemade meals over restaurant food.,Home-cooked food tastes better to me than dishes from restaurants.,1
I enjoy playing football with my friends on weekends.,Playing football on weekends with friends is fun and energizing.,1
Traveling gives me new perspectives and memories.,I gain new insights and experiences whenever I travel.,1
I love reading novels that make me think deeply about life.,I enjoy reading stories that challenge my perspective on life.,1
I often try cooking international cuisines at home.,Preparing dishes from other countries at home is one of my favorite hobbies.,1
Cycling in the park is my favorite way to exercise.,I like cycling through parks as part of my daily workout.,1
I enjoy reading mystery novels that keep me guessing until the end.,Reading mystery novels is exciting because the suspense keeps me engaged until the final reveal.,1
Cycling in the park is my favorite way to exercise.,I love traveling to new cities and exploring different cultures.,0
I like experimenting with new recipes in the kitchen.,Trying new dishes in the kitchen is something I enjoy a lot.,1
I enjoy visiting beaches and spending time near the sea.,Relaxing on beaches and enjoying the ocean breeze is my favorite activity.,1
I read science fiction stories that explore futuristic societies and new technologies.,Science fiction stories I read imagine future societies and technological innovations.,1
I enjoy visiting beaches and spending time near the sea.,Cooking helps me relax after a long day.,0
I read science fiction stories that explore futuristic societies and new technologies.,I prefer mountains over beaches for vacation.,0
I love reading books about space exploration and aliens.,Books about space and extraterrestrial life are fascinating to me.,1
